item,total_messages,observed_updates_per_sec,repeated_value_percent,average_time_delta_between_updates,min,max,total_runtime_seconds
USLAB000058,11,0.003056,0.00,336.403074,754.916626,755.118652,3600.056
USLAB000059,434,0.120554,0.00,7.780685,23.260464,23.763393,3600.056
USLAB000055,2,0.000556,50.00,580.050585,2.432512,2.432512,3600.056
NODE3000012,1006,0.279440,0.00,3.335469,17.106964,17.295645,3600.056
NODE3000013,513,0.142498,0.00,6.631198,4.062500,4.687500,3600.056
S1000003,457,0.126942,0.00,7.421676,3.576558,4.202281,3600.056
P1000003,624,0.173331,0.00,5.449713,3.826847,4.577714,3600.056
S0000001,2,0.000556,50.00,578.326536,-29.967041,-29.967041,3600.056
S0000002,1373,0.381383,0.00,2.473967,14.846187,14.851680,3600.056
S0000004,3373,0.936930,0.00,1.007146,0.040298,359.990845,3600.056
Z1000009,95,0.026388,0.00,35.940688,6600.000000,6601.000000,3600.056
Z1000005,259,0.071943,0.00,13.137338,0.577148,0.620117,3600.056
NODE3000005,6,0.001667,16.67,234.458894,27.000000,31.000000,3600.056
